geodata_latitude;geodata_longtitude
54.153810046043;37.584268454037
54.154904257919;37.584815521495
54.157187138959;37.585400580357
54.160692871959;37.586289271164
54.164319218843;37.587224084656
54.167115681124;37.589204334988
54.168921197057;37.591180813492
54.172644697694;37.595238699405
54.177283687592;37.600351063824
54.180927039844;37.604288419643
54.185145415386;37.608915457672
54.190194956789;37.614462780426
54.195221746664;37.612294746033
54.199694287339;37.61327979266
54.206160159332;37.619354390213
54.209804017415;37.621076568123
54.212452413738;37.622308326389
54.21833784312;37.622182093254
54.219048406566;37.617310941139
54.220015123966;37.61046553373
54.220895976831;37.604363860119
54.223997913627;37.604788106815
54.223613092204;37.604604970569
54.220697566504;37.605380212303
54.220065433783;37.609682533729
54.219482155572;37.613716635582
54.218660003153;37.619529139881
54.217048212451;37.624268203705
54.212708841384;37.622125716602
54.209897625415;37.620773309193
54.206292427703;37.619049279762
54.199860852526;37.613169585319
54.195219018788;37.611983763229
54.19181183344;37.615918369381
54.18928257563;37.613132220901
54.184933208006;37.608347338622
54.181652905756;37.604769212303
54.178194706238;37.601007915344
54.172235627338;37.594477495701
54.169669163074;37.591617606152
54.16628862548;37.58795135582
54.163568355066;37.586778877316
54.158586398958;37.585489279762
54.153885261331;37.584036856688
54.153810046043;37.584268454037
54.154904257919;37.584815521495
54.157187138959;37.585400580357
54.160692871959;37.586289271164
54.164319218843;37.587224084656
54.167115681124;37.589204334988
54.168921197057;37.591180813492
54.172644697694;37.595238699405
54.177283687592;37.600351063824
54.180927039844;37.604288419643
54.185145415386;37.608915457672
54.190194956789;37.614462780426
54.195221746664;37.612294746033
54.199694287339;37.61327979266
54.206084658228;37.617868583992
54.206751634404;37.613834618385
54.207591179007;37.608840474869
54.208343327061;37.604093398811
54.209669888698;37.59502682209
54.209694955357;37.595150763229
54.20823787518;37.604079191471
54.207670348286;37.607826720238
54.206813138302;37.613053841594
54.20596851324;37.617912076057
54.199860852526;37.613169585319
54.195219018788;37.611983763229
54.19181183344;37.615918369381
54.18928257563;37.613132220901
54.184933208006;37.608347338622
54.181652905756;37.604769212303
54.178194706238;37.601007915344
54.172235627338;37.594477495701
54.169669163074;37.591617606152
54.16628862548;37.58795135582
54.163568355066;37.586778877316
54.158586398958;37.585489279762
54.153810046043;37.584268454037
54.153810046043;37.584268454037
54.154904257919;37.584815521495
54.157187138959;37.585400580357
54.160692871959;37.586289271164
54.164279402322;37.585810652779
54.166366388544;37.580290796295
54.16940121367;37.572839431877
54.172098611451;37.575505915344
54.177439037109;37.574229271164
54.181834749194;37.573097737434
54.1851487808;37.572866915344
54.189049415857;37.58306969577
54.188571112685;37.585129916672
54.186803397763;37.589732712967
54.184072778982;37.596679331352
54.181990287831;37.602412022856
54.185145415386;37.608915457672
54.190194956789;37.614462780426
54.195221746664;37.612294746033
54.199694287339;37.61327979266
54.206160159332;37.619354390213
54.209804017415;37.621076568123
54.212452413738;37.622308326389
54.2183;37.6251
54.224690198973;37.628152525131
54.227897569367;37.628512195106
54.235167152449;37.623131203705
54.240334564442;37.619292420601
54.246748228205;37.61442760615
54.253219434108;37.609621214611
54.252393482122;37.610106117721
54.246143722877;37.614765293323
54.239904997767;37.619365781754
54.23455030033;37.623308483467
54.227680117213;37.628423649143
54.225168988542;37.628109474869
54.217048212451;37.624268203705
54.212708841384;37.622125716602
54.209897625415;37.620773309193
54.206292427703;37.619049279762
54.199860852526;37.613169585319
54.195219018788;37.611983763229
54.19181183344;37.615918369381
54.18928257563;37.613132220901
54.184933208006;37.608347338622
54.181596026209;37.603776559524
54.183817682073;37.597731110451
54.187011322136;37.589415958336
54.188973011091;37.58430335582
54.189131504626;37.58268333995
54.185784148948;37.572705661377
54.181498330711;37.573087025795
54.177071373143;37.574172419643
54.172136075961;37.575393314155
54.169316344068;37.572606114085
54.168535346949;37.574309449074
54.166228433369;37.580505849213
54.163568355066;37.586778877316
54.158586398958;37.585489279762
54.153885261331;37.584036856688
54.153810046043;37.584268454037
54.154904257919;37.584815521495
54.157187138959;37.585400580357
54.160692871959;37.586289271164
54.164279402322;37.585810652779
54.166366388544;37.580290796295
54.16940121367;37.572839431877
54.172098611451;37.575505915344
54.177439037109;37.574229271164
54.181834749194;37.573097737434
54.1851487808;37.572866915344
54.189049415857;37.58306969577
54.191015725791;37.584081428241
54.197933407272;37.585334034393
54.198540419753;37.578327526459
54.198540419753;37.578327526459
54.198368641663;37.580164699406
54.19799002354;37.585081889549
54.191174758298;37.583868652778
54.189131504626;37.58268333995
54.185784148948;37.572705661377
54.181498330711;37.573087025795
54.177071373143;37.574172419643
54.172136075961;37.575393314155
54.168535346949;37.574309449074
54.166236233868;37.580470911709
54.163568355066;37.586778877316
54.158586398958;37.585489279762
54.153810046043;37.584268454037
54.198540419753;37.578327526459
54.198368641663;37.580164699406
54.198273290612;37.585794889549
54.197838779407;37.59102548214
54.197401585185;37.595931352184
54.196871974576;37.6020112295
54.196225162578;37.609334440475
54.199694287339;37.61327979266
54.206160159332;37.619354390213
54.209804017415;37.621076568123
54.212452413738;37.622308326389
54.2183;37.6251
54.224690198973;37.628152525131
54.227897569367;37.628512195106
54.235167152449;37.623131203705
54.239904997767;37.619365781754
54.246143722877;37.614765293323
54.253219434108;37.609621214611
54.252393482122;37.610106117721
54.246748228205;37.61442760615
54.240334564442;37.619292420601
54.23455030033;37.623308483467
54.227680117213;37.628423649143
54.225168988542;37.628109474869
54.217048212451;37.624268203705
54.212708841384;37.622125716602
54.209897625415;37.620773309193
54.206292427703;37.619049279762
54.199860852526;37.613169585319
